H<datetime,DIFF1_mean[mV],DIFF1_rms[mV],DIFF1_min[mV],DIFF1_max[mV],DIFF3_mean[mV],DIFF3_rms[mV],DIFF3_min[mV],DIFF3_max[mV],V2rms[V],P2real[W],PF2[],f2[Hz],notes>
M<2024/07/30 02:31:47,305.03,305.03,304.25,306.25,0.00,0.01,-0.06,0.05,232.66,-0.03,-0.00,49.966,>
M<2024/07/30 02:31:57,305.00,305.00,304.25,306.13,0.00,0.01,-0.05,0.08,232.65,0.38,0.00,49.965,>
M<2024/07/30 02:32:07,305.07,305.07,304.38,306.00,0.00,0.01,-0.03,0.04,232.50,0.07,0.00,49.958,>
M<2024/07/30 02:32:17,305.11,305.11,304.38,306.13,0.00,0.01,-0.05,0.08,232.34,-0.00,-0.00,50.022,>
M<2024/07/30 02:32:27,305.19,305.18,304.38,306.13,0.00,0.01,-0.04,0.04,232.01,-0.11,-0.00,49.975,>
M<2024/07/30 02:32:37,305.24,305.24,304.50,306.25,0.00,0.01,-0.05,0.05,232.16,0.17,0.00,50.037,>
M<2024/07/30 02:32:47,305.21,305.21,304.38,306.13,0.00,0.01,-0.03,0.05,232.24,0.04,0.00,49.954,>
M<2024/07/30 02:32:57,305.19,305.18,304.38,306.13,0.00,0.01,-0.04,0.05,231.68,0.31,0.00,49.945,>
M<2024/07/30 02:33:07,305.21,305.21,304.38,306.38,0.00,0.01,-0.04,0.04,231.67,0.40,0.00,49.936,>
M<2024/07/30 02:33:17,305.28,305.27,304.50,306.25,0.00,0.01,-0.05,0.05,231.76,0.37,0.00,49.959,>
M<2024/07/30 02:33:27,305.24,305.23,304.38,306.13,0.00,0.01,-0.04,0.08,232.66,0.20,0.00,50.188,>
M<2024/07/30 02:33:37,305.26,305.26,304.38,306.50,0.00,0.01,-0.03,0.06,232.65,0.24,0.00,49.948,>
M<2024/07/30 02:33:47,305.30,305.30,304.63,306.25,0.00,0.01,-0.03,0.04,232.50,0.00,0.00,49.981,>
M<2024/07/30 02:33:57,305.34,305.34,304.63,306.25,0.00,0.01,-0.04,0.05,232.24,-0.11,-0.00,49.961,>
M<2024/07/30 02:34:07,305.44,305.44,304.63,306.38,0.00,0.01,-0.03,0.09,232.13,0.14,0.00,49.967,>
M<2024/07/30 02:34:17,305.41,305.41,304.63,306.38,0.00,0.01,-0.05,0.04,232.49,-0.03,-0.00,49.968,>
M<2024/07/30 02:34:27,305.48,305.48,304.75,306.50,0.00,0.01,-0.03,0.05,232.68,0.10,0.00,49.948,>
M<2024/07/30 02:34:37,305.50,305.50,304.88,306.50,0.00,0.01,-0.03,0.07,232.57,0.10,0.00,49.975,>
M<2024/07/30 02:34:47,305.53,305.53,304.75,306.50,0.00,0.01,-0.07,0.09,232.55,-0.13,-0.00,49.972,>
M<2024/07/30 02:34:57,305.57,305.57,304.88,306.63,0.00,0.01,-0.03,0.07,232.59,0.10,0.00,49.953,>
M<2024/07/30 02:35:07,305.55,305.55,304.75,306.50,0.00,0.01,-0.04,0.05,232.20,0.30,0.00,49.959,>
M<2024/07/30 02:35:17,305.53,305.53,304.75,306.63,0.00,0.01,-0.03,0.05,232.27,0.40,0.00,49.960,>
M<2024/07/30 02:35:27,305.62,305.62,305.00,306.75,0.00,0.01,-0.03,0.09,231.99,-0.03,-0.00,49.955,>
M<2024/07/30 02:35:37,305.64,305.64,304.88,306.63,0.00,0.01,-0.05,0.04,232.04,-0.01,-0.00,49.977,>
M<2024/07/30 02:35:47,305.63,305.63,304.88,306.63,0.00,0.01,-0.04,0.04,232.31,0.09,0.00,49.950,>
M<2024/07/30 02:35:57,305.73,305.73,305.00,306.63,0.00,0.01,-0.03,0.05,232.20,0.01,0.00,49.970,>
M<2024/07/30 02:36:07,305.74,305.74,305.00,306.75,0.00,0.01,-0.04,0.05,232.37,0.01,0.00,49.985,>
M<2024/07/30 02:36:18,305.76,305.76,305.00,306.75,0.00,0.01,-0.03,0.04,232.29,-0.10,-0.00,49.944,>
M<2024/07/30 02:36:28,305.79,305.79,305.00,306.75,0.00,0.01,-0.05,0.09,232.45,0.04,0.00,49.980,>
M<2024/07/30 02:36:38,305.84,305.84,305.00,306.75,0.00,0.01,-0.04,0.04,232.45,-0.09,-0.00,49.958,>
M<2024/07/30 02:36:48,305.81,305.81,305.13,306.75,0.00,0.01,-0.03,0.04,232.20,-0.08,-0.00,49.945,>
M<2024/07/30 02:36:58,305.83,305.83,305.13,306.88,0.00,0.01,-0.06,0.04,232.20,0.20,0.00,49.945,>
M<2024/07/30 02:37:08,305.84,305.84,305.00,306.88,0.00,0.01,-0.04,0.05,232.33,-0.04,-0.00,49.946,>
M<2024/07/30 02:37:18,305.86,305.86,305.13,306.88,0.00,0.01,-0.03,0.04,232.49,-0.23,-0.00,49.950,>
M<2024/07/30 02:37:28,305.93,305.93,305.13,306.88,0.00,0.01,-0.04,0.04,232.45,0.24,0.00,49.978,>
M<2024/07/30 02:37:38,305.98,305.98,305.13,307.00,0.00,0.01,-0.03,0.04,232.48,0.30,0.00,49.962,>
M<2024/07/30 02:37:48,306.05,306.06,305.13,307.00,0.00,0.01,-0.04,0.04,232.92,0.11,0.00,49.949,>
M<2024/07/30 02:37:58,306.11,306.11,305.38,307.25,0.00,0.01,-0.04,0.05,233.22,-0.01,-0.00,49.973,>
M<2024/07/30 02:38:08,306.14,306.14,305.38,307.13,0.00,0.01,-0.04,0.05,232.96,-0.12,-0.00,50.006,>
M<2024/07/30 02:38:18,306.20,306.20,305.50,307.25,0.00,0.01,-0.05,0.05,233.03,0.11,0.00,49.972,>
M<2024/07/30 02:38:28,306.17,306.17,305.50,307.13,0.00,0.01,-0.03,0.10,233.05,0.07,0.00,49.963,>
M<2024/07/30 02:38:38,306.19,306.20,305.38,307.25,0.00,0.01,-0.07,0.09,232.81,-0.12,-0.00,49.979,>
M<2024/07/30 02:38:48,306.25,306.25,305.63,307.25,0.00,0.01,-0.04,0.04,233.35,0.19,0.00,49.937,>
