H<datetime,DIFF1_mean[mV],DIFF1_rms[mV],DIFF1_min[mV],DIFF1_max[mV],DIFF3_mean[mV],DIFF3_rms[mV],DIFF3_min[mV],DIFF3_max[mV],V2rms[V],P2real[W],PF2[],f2[Hz],notes>
M<2024/07/27 03:50:25,483.94,483.94,482.88,485.38,0.00,0.01,-0.03,0.12,233.06,0.01,0.00,49.956,>
M<2024/07/27 03:50:35,484.11,484.10,483.13,485.38,0.00,0.01,-0.03,0.04,233.19,0.10,0.00,50.060,>
M<2024/07/27 03:50:45,484.03,484.03,483.00,485.38,0.00,0.01,-0.03,0.05,232.94,-0.04,-0.00,49.987,>
M<2024/07/27 03:50:55,483.98,483.97,483.00,485.25,0.00,0.01,-0.03,0.06,233.04,-0.02,-0.00,50.004,>
M<2024/07/27 03:51:05,484.07,484.06,483.13,485.50,0.00,0.01,-0.05,0.04,232.87,0.04,0.00,50.096,>
M<2024/07/27 03:51:15,483.91,483.91,482.88,485.38,0.00,0.01,-0.07,0.09,232.92,0.07,0.00,49.966,>
M<2024/07/27 03:51:25,483.83,483.83,482.88,485.13,0.00,0.01,-0.03,0.04,232.80,0.21,0.00,49.965,>
M<2024/07/27 03:51:35,483.91,483.90,483.00,485.38,0.00,0.01,-0.03,0.05,232.69,0.04,0.00,50.004,>
M<2024/07/27 03:51:45,483.93,483.93,483.00,485.25,0.00,0.01,-0.03,0.05,232.74,0.19,0.00,49.961,>
M<2024/07/27 03:51:55,483.98,483.97,483.00,485.25,0.00,0.01,-0.05,0.04,233.08,-0.16,-0.00,49.975,>
M<2024/07/27 03:52:05,483.91,483.90,482.88,485.25,0.00,0.01,-0.03,0.05,233.28,-0.13,-0.00,49.950,>
M<2024/07/27 03:52:15,483.96,483.95,483.00,485.38,0.00,0.01,-0.03,0.04,232.78,-0.02,-0.00,49.958,>
M<2024/07/27 03:52:25,483.94,483.93,482.88,485.50,0.00,0.01,-0.08,0.04,232.92,0.21,0.00,49.958,>
M<2024/07/27 03:52:35,483.92,483.91,483.00,485.25,0.00,0.01,-0.07,0.04,232.88,0.04,0.00,49.978,>
M<2024/07/27 03:52:45,483.92,483.92,483.00,485.38,0.00,0.01,-0.06,0.04,232.91,0.23,0.00,49.978,>
M<2024/07/27 03:52:55,483.83,483.82,482.88,485.13,0.00,0.01,-0.03,0.10,232.79,0.03,0.00,49.935,>
M<2024/07/27 03:53:06,483.88,483.88,482.75,485.25,0.00,0.01,-0.03,0.04,232.77,-0.25,-0.00,49.929,>
M<2024/07/27 03:53:16,483.90,483.89,482.88,485.38,0.00,0.01,-0.04,0.05,232.82,0.29,0.00,49.953,>
M<2024/07/27 03:53:26,483.99,483.99,483.00,485.38,0.00,0.01,-0.03,0.10,232.86,0.19,0.00,49.961,>
M<2024/07/27 03:53:36,484.13,484.13,483.25,485.50,0.00,0.01,-0.03,0.04,232.87,0.07,0.00,49.977,>
M<2024/07/27 03:53:46,484.13,484.12,483.25,485.50,0.00,0.01,-0.03,0.05,232.97,-0.15,-0.00,49.961,>
M<2024/07/27 03:53:57,484.23,484.23,483.25,485.63,0.00,0.01,-0.03,0.04,232.94,0.07,0.00,49.953,>
M<2024/07/27 03:54:07,484.23,484.23,483.25,485.63,0.00,0.01,-0.03,0.05,232.98,0.08,0.00,49.968,>
M<2024/07/27 03:54:17,484.26,484.25,483.25,485.63,0.00,0.01,-0.04,0.11,233.16,-0.09,-0.00,49.967,>
M<2024/07/27 03:54:27,484.23,484.22,483.38,485.63,0.00,0.01,-0.04,0.04,233.14,0.06,0.00,50.002,>
M<2024/07/27 03:54:37,484.23,484.23,483.25,485.50,0.00,0.01,-0.03,0.04,233.15,0.09,0.00,49.961,>
M<2024/07/27 03:54:47,484.31,484.31,483.25,485.75,0.00,0.01,-0.03,0.05,233.07,0.20,0.00,49.964,>
M<2024/07/27 03:54:57,484.31,484.31,483.25,485.63,0.00,0.01,-0.03,0.07,232.99,0.20,0.00,49.956,>
M<2024/07/27 03:55:07,484.31,484.31,483.38,485.63,0.00,0.01,-0.04,0.05,233.03,0.26,0.00,49.949,>
M<2024/07/27 03:55:17,484.30,484.30,483.38,485.63,0.00,0.01,-0.03,0.05,233.18,-0.07,-0.00,50.081,>
M<2024/07/27 03:55:27,484.32,484.32,483.38,485.75,0.00,0.01,-0.03,0.05,233.21,0.01,0.00,49.979,>
M<2024/07/27 03:55:37,484.41,484.41,483.38,485.75,0.00,0.01,-0.04,0.05,233.39,0.17,0.00,49.972,>
M<2024/07/27 03:55:47,484.33,484.33,483.38,485.63,0.00,0.01,-0.04,0.05,233.44,-0.14,-0.00,49.973,>
M<2024/07/27 03:55:57,484.46,484.46,483.63,485.88,0.00,0.01,-0.03,0.05,233.65,0.22,0.00,49.971,>
M<2024/07/27 03:56:07,484.43,484.44,483.63,485.75,0.00,0.01,-0.04,0.05,233.14,0.13,0.00,49.976,>
M<2024/07/27 03:56:17,484.42,484.42,483.38,485.88,0.00,0.01,-0.06,0.05,233.03,-0.06,-0.00,49.954,>
M<2024/07/27 03:56:27,484.46,484.46,483.50,485.88,0.00,0.01,-0.04,0.08,233.11,-0.10,-0.00,49.955,>
M<2024/07/27 03:56:37,484.47,484.47,483.50,485.75,0.00,0.01,-0.05,0.04,232.99,0.20,0.00,49.970,>
M<2024/07/27 03:56:47,484.55,484.55,483.63,486.00,0.00,0.01,-0.04,0.04,232.98,0.17,0.00,49.956,>
M<2024/07/27 03:56:58,484.55,484.55,483.63,485.88,0.00,0.01,-0.09,0.04,233.08,0.07,0.00,49.970,>
M<2024/07/27 03:57:08,484.57,484.58,483.50,486.00,0.00,0.01,-0.03,0.05,232.97,0.24,0.00,49.933,>
M<2024/07/27 03:57:18,484.59,484.60,483.75,486.00,0.00,0.01,-0.03,0.04,233.03,-0.06,-0.00,49.956,>
M<2024/07/27 03:57:28,484.62,484.62,483.63,485.88,0.00,0.01,-0.04,0.05,233.04,-0.11,-0.00,49.976,>
M<2024/07/27 03:57:38,484.60,484.61,483.50,486.00,0.00,0.01,-0.03,0.10,232.96,0.07,0.00,49.961,>
M<2024/07/27 03:57:49,484.68,484.68,483.75,486.00,0.00,0.01,-0.04,0.05,232.58,-0.06,-0.00,50.053,>
M<2024/07/27 03:57:59,484.65,484.65,483.63,486.00,0.00,0.01,-0.03,0.04,232.10,0.12,0.00,49.932,>
M<2024/07/27 03:58:09,484.70,484.70,483.75,486.13,0.00,0.01,-0.03,0.05,232.33,-0.09,-0.00,49.984,>
