H<datetime,DIFF1_mean[mV],DIFF1_rms[mV],DIFF1_min[mV],DIFF1_max[mV],DIFF3_mean[mV],DIFF3_rms[mV],DIFF3_min[mV],DIFF3_max[mV],V2rms[V],P2real[W],PF2[],f2[Hz],notes>
M<2024/07/29 00:27:24,302.14,302.14,301.50,303.00,0.00,0.01,-0.03,0.05,232.60,0.13,0.00,49.977,>
M<2024/07/29 00:27:34,302.16,302.16,301.50,303.25,0.00,0.01,-0.04,0.04,232.73,0.03,0.00,49.985,>
M<2024/07/29 00:27:44,302.19,302.19,301.50,303.13,0.00,0.01,-0.04,0.07,232.75,0.14,0.00,49.953,>
M<2024/07/29 00:27:54,302.20,302.20,301.50,303.25,0.00,0.01,-0.04,0.05,232.53,-0.23,-0.00,49.985,>
M<2024/07/29 00:28:04,302.33,302.33,301.38,303.25,0.00,0.01,-0.04,0.05,232.49,-0.02,-0.00,49.963,>
M<2024/07/29 00:28:14,302.42,302.42,301.75,303.38,0.00,0.01,-0.05,0.04,232.50,0.23,0.00,50.084,>
M<2024/07/29 00:28:24,302.39,302.39,301.63,303.25,0.00,0.01,-0.03,0.08,232.63,0.16,0.00,49.961,>
M<2024/07/29 00:28:34,302.45,302.45,301.75,303.38,0.00,0.01,-0.05,0.04,232.60,0.09,0.00,50.001,>
M<2024/07/29 00:28:44,302.49,302.49,301.88,303.50,0.00,0.01,-0.04,0.03,232.51,0.13,0.00,50.219,>
M<2024/07/29 00:28:54,302.49,302.49,301.75,303.38,0.00,0.01,-0.04,0.03,232.56,0.05,0.00,50.004,>
M<2024/07/29 00:29:04,302.52,302.52,301.75,303.50,0.00,0.01,-0.03,0.04,232.19,0.38,0.00,50.013,>
M<2024/07/29 00:29:14,302.56,302.56,301.88,303.50,0.00,0.01,-0.04,0.05,232.44,-0.02,-0.00,49.978,>
M<2024/07/29 00:29:24,302.58,302.58,301.88,303.50,0.00,0.01,-0.04,0.04,232.12,-0.10,-0.00,50.121,>
M<2024/07/29 00:29:34,302.64,302.64,302.00,303.63,0.00,0.01,-0.07,0.04,232.06,0.03,0.00,49.982,>
M<2024/07/29 00:29:44,302.66,302.66,302.00,303.63,0.00,0.01,-0.03,0.05,232.23,-0.16,-0.00,49.984,>
M<2024/07/29 00:29:55,302.66,302.66,301.88,303.63,0.00,0.01,-0.11,0.04,232.20,0.29,0.00,49.994,>
M<2024/07/29 00:30:05,302.74,302.75,302.00,303.75,0.00,0.01,-0.03,0.04,232.13,0.21,0.00,50.000,>
M<2024/07/29 00:30:15,302.72,302.72,302.00,303.63,0.00,0.01,-0.04,0.04,232.28,0.13,0.00,49.991,>
M<2024/07/29 00:30:25,302.76,302.76,302.00,303.75,0.00,0.01,-0.07,0.04,232.36,-0.21,-0.00,49.993,>
M<2024/07/29 00:30:35,302.82,302.82,302.13,303.75,0.00,0.01,-0.03,0.04,232.13,0.18,0.00,49.974,>
M<2024/07/29 00:30:45,302.83,302.83,302.00,303.75,0.00,0.01,-0.07,0.06,232.29,0.30,0.00,49.977,>
M<2024/07/29 00:30:55,302.91,302.91,302.25,303.88,0.00,0.01,-0.09,0.04,232.15,0.11,0.00,50.110,>
M<2024/07/29 00:31:05,302.92,302.93,302.25,304.00,0.00,0.01,-0.04,0.04,232.04,0.01,0.00,49.975,>
M<2024/07/29 00:31:15,302.90,302.90,302.13,303.75,0.00,0.01,-0.04,0.04,232.16,-0.13,-0.00,49.943,>
M<2024/07/29 00:31:25,303.06,303.07,302.38,304.00,0.00,0.01,-0.04,0.04,232.67,0.09,0.00,49.976,>
M<2024/07/29 00:31:35,303.02,303.02,302.38,304.13,0.00,0.01,-0.04,0.04,232.95,-0.13,-0.00,50.016,>
M<2024/07/29 00:31:45,303.06,303.06,302.38,304.00,0.00,0.01,-0.04,0.04,232.77,-0.28,-0.00,49.994,>
M<2024/07/29 00:31:55,303.07,303.08,302.25,304.13,0.00,0.01,-0.04,0.05,233.04,-0.03,-0.00,50.020,>
M<2024/07/29 00:32:05,303.13,303.13,302.50,304.13,0.00,0.01,-0.04,0.05,232.87,0.18,0.00,49.992,>
M<2024/07/29 00:32:15,303.15,303.15,302.38,304.00,0.00,0.01,-0.04,0.04,232.85,0.14,0.00,49.997,>
M<2024/07/29 00:32:25,303.20,303.20,302.50,304.25,0.00,0.01,-0.04,0.05,232.55,-0.08,-0.00,49.949,>
